English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
young,年轻的,[sound:9bd209f4854cab5d_uk.mp3],[sound:f8d649793499ff8a_us.mp3],"This is a <span style=""color:red;""><b>young</b></span> one.",这是一位年轻的。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
zebra,斑马,[sound:af374beb03fcd7b2_uk.mp3],[sound:1bb463af2f7d2c5a_us.mp3],"I can see a <span style=""color:red;""><b>zebra</b></span> at the zoo.",我可以在动物园看到斑马。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
zero,零,[sound:fa0a0fc240f0281a_uk.mp3],[sound:7336fca2024207c2_us.mp3],"I can see a <span style=""color:red;""><b>zero</b></span> here.",我在这里看到一个零。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
zoo,动物园,[sound:6a95e193ca3018c6_uk.mp3],[sound:075ae652312439b3_us.mp3],"I can see a <span style=""color:red;""><b>zoo</b></span> at the zoo.",我可以在动物园里看到一个动物园。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
21st,21日,[sound:d9452f04b77d42d6_uk.mp3],[sound:c9f0601efd22ee1e_us.mp3],"I can see a <span style=""color:red;""><b>21st</b></span> here.",我在这里可以看到21号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
22nd,22日,[sound:61d75e2f0bcc5a8e_uk.mp3],[sound:11dc2e63feec5911_us.mp3],"I can see a <span style=""color:red;""><b>22nd</b></span> here.",我在这里可以看到22号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
23rd,23日,[sound:d2fff45883be4ee0_uk.mp3],[sound:4a8bf1fc445e717b_us.mp3],"I can see a <span style=""color:red;""><b>23rd</b></span> here.",我在这里可以看到23号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
24th,24日,[sound:b34e8a706de1dec5_uk.mp3],[sound:963100cef79de251_us.mp3],"I can see a <span style=""color:red;""><b>24th</b></span> here.",我在这里可以看到24号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
25th,25日,[sound:099bfee674328b87_uk.mp3],[sound:40f6820021252ffa_us.mp3],"I can see a <span style=""color:red;""><b>25th</b></span> here.",我在这里可以看到25号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
26th,26日,[sound:db0d8e8c57883ec1_uk.mp3],[sound:c54616b9606f347d_us.mp3],"I can see a <span style=""color:red;""><b>26th</b></span> here.",我在这里可以看到26号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
27th,27日,[sound:31424098ecee2ff5_uk.mp3],[sound:3695983174c0139e_us.mp3],"I can see a <span style=""color:red;""><b>27th</b></span> here.",我在这里可以看到27号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
28th,28日,[sound:5d00d437d9d3543b_uk.mp3],[sound:c1b370fa87c029db_us.mp3],"I can see a <span style=""color:red;""><b>28th</b></span> here.",我在这里可以看到28号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
29th,29日,[sound:4b3c8f396c150eed_uk.mp3],[sound:857e7567c8960833_us.mp3],"I can see a <span style=""color:red;""><b>29th</b></span> here.",我在这里可以看到29号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
30th,30号,[sound:54a6a737703dc698_uk.mp3],[sound:6f6fe0895ebfd16e_us.mp3],"I can see a <span style=""color:red;""><b>30th</b></span> here.",我在这里可以看到 30 号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
31st,31号,[sound:32a30de01cef6546_uk.mp3],[sound:675606bffa468c92_us.mp3],"I can see a <span style=""color:red;""><b>31st</b></span> here.",我在这里可以看到 31 号。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Betty,贝蒂,[sound:1d6026b8413e266c_uk.mp3],[sound:6fc4132bba9e2863_us.mp3],"I can see a <span style=""color:red;""><b>betty</b></span> here.",我在这里看到了贝蒂。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
a hundred,一百,[sound:a9f0badcc95a4954_uk.mp3],[sound:033c0286c006adc8_us.mp3],"We can use ""<span style=""color:red;""><b>a hundred</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“一百”。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
a million,一百万,[sound:afbd2a0663dc689a_uk.mp3],[sound:eb4d4ffba32705b0_us.mp3],"We can use ""<span style=""color:red;""><b>a million</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“一百万”。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
a thousand,一千,[sound:254f86d84ae40051_uk.mp3],[sound:2d335079e0fd5e64_us.mp3],"We can use ""<span style=""color:red;""><b>a thousand</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“一千”。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
